Title,Discription,Genre
7. Koğuştaki Mucize,separ from hi daughter a father with an intellectu disabl must prove hi innoc when he be jail for the death of a command child,Drama
砂の女,an entomologist suffer extrem psycholog and sexual tortur after be take captiv by the resid of a poor seasid villag,"Drama, Thriller"
Clouds,young musician zach sobiech discov hi cancer have spread leav him just a few month to live with limit time he follow hi dream and make an album unawar that it will soon be a viral music phenomenon,"Drama, Music, Romance"
올드보이,with no clue how he come to be imprison drug and tortur for 15 year a desper businessman seek reveng on hi captor,"Action, Drama, Mystery, Thriller"
C'eravamo tanto amati,three partisan bind by a strong friendship return home after the war but the clash with everyday realiti put a strain on their bond,"Comedy, Drama"
La leggenda del pianista sull'oceano,the stori of a virtuoso piano player who live hi entir life aboard an ocean liner bear and rais on the ship 1900 tim roth learn about the outsid world through interact with passeng never set foot on land even for the love of hi life year later the ship may be destroy and a former band member fear that 1900 may still be aboard will to go down with the ship,"Drama, Music"
It's a Wonderful Life,a holiday favourit for gener georg bailey have spend hi entir life give to the peopl of bedford fall all that prevent rich skinflint my potter from take over the entir town be georg modest build and loan compani but on christma eve the busi 8000 be lose and georg troubl begin,"Drama, Family, Fantasy"
Puss in Boots: The Last Wish,puss in boot discov that hi passion for adventur have take it toll he have burn through eight of hi nine live leav him with onli one life leav puss set out on an epic journey to find the mythic last wish and restor hi nine live,"Action, Adventure, Animation, Comedy, Family, Fantasy"
Avengers: Endgame,after the devast event of aveng infin war the univers be in ruin due to the effort of the mad titan thano with the help of remain alli the aveng must assembl onc more in order to undo thano action and restor order to the univers onc and for all no matter what consequ may be in store,"Action, Adventure, Science Fiction"
The Shop Around the Corner,two employe at a gift shop can bare stand one anoth without realis that they be fall in love through the post as each other anonym pen pal,"Comedy, Drama, Romance"
劇場版「鬼滅の刃」無限列車編,tanjiro yamato join with insur hashibira a boy rais by boar who wear a boar head and zenith agatsuma a scar boy who reveal hi true power when he sleep board the infin train on a new mission with the fire hashiri kyojuro rengoku to defeat a demon who have be torment the peopl and kill the demon slayer who oppos it,"Action, Adventure, Animation, Fantasy, Thriller"
Justice League Dark: Apokolips War,earth be decim after intergalact tyrant darkseid have devast the justic leagu in a poorli execut war by the do super hero now the remain bastion of good i the justic leagu teen titan suicid squad and assort other i must regroup strateg and take the war to darkseid in order to save the planet and it surviv inhabit,"Action, Animation, Science Fiction"
The Lion King,a young lion princ be cast out of hi pride by hi cruel uncl who claim he kill hi father while the uncl rule with an iron paw the princ grow up beyond the savannah live by a philosophi no worri for the rest of your day but when hi past come to haunt him the young princ must decid hi fate will he remain an outcast or face hi demon and becom what he need to be,"Animation, Drama, Family"
